Dates;Category;Customer
30.04.2018 5:52;BOTNET;E-GOV DATA CENTER
30.04.2018 5:52;SPAM;E-GOV DATA CENTER
30.04.2018 5:52;SPAM;E-GOV DATA CENTER
30.04.2018 4:42;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
30.04.2018 2:05;SECURITY SYSTEM FAULT;OFFICE OF THE PRESIDENT
30.04.2018 1:41;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
30.04.2018 1:40;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
30.04.2018 1:35;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
22.04.2018 23:38;UNAUTHORIZED ACCESS;PARLIAMENT
22.04.2018 15:45;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
22.04.2018 15:00;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
22.04.2018 14:50;SPAM;E-GOV DATA CENTER
22.04.2018 11:45;MALWARE;HOUSE OF MINISTRIES
22.04.2018 10:55;DDOS;OFFICE OF THE PRIME-MINISTER
22.04.2018 5:10;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
22.04.2018 2:10;MALWARE;MINISTRY OF DEFENCE
22.04.2018 1:45;MALWARE;POLICE DEPARTMENT
22.04.2018 0:05;UNAUTHORIZED ACCESS;PARLIAMENT
21.04.2018 23:50;NETWORK ATTACK;OFFICE OF THE PRIME-MINISTER
21.04.2018 22:50;SPAM;HOUSE OF MINISTRIES
21.04.2018 21:09;MALWARE;HOUSE OF MINISTRIES
21.04.2018 19:47;SPAM;OFFICE OF THE PRESIDENT
21.04.2018 19:35;MALWARE;POLICE DEPARTMENT
21.04.2018 18:00;BOTNET;PARLIAMENT
21.04.2018 16:00;DDOS;MINISTRY OF DIGITAL DEVELOPMENT
21.04.2018 13:30;NETWORK ATTACK;HOUSE OF MINISTRIES
21.04.2018 13:30;DDOS;HOUSE OF MINISTRIES
21.04.2018 13:15;SPAM;E-GOV DATA CENTER
21.04.2018 12:32;PHISHING;E-GOV DATA CENTER
21.04.2018 12:30;NETWORK ATTACK;HOUSE OF MINISTRIES
21.04.2018 3:50;SPAM;OFFICE OF THE PRIME-MINISTER
21.04.2018 3:30;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
21.04.2018 3:30;BOTNET;HOUSE OF MINISTRIES
21.04.2018 3:27;MALWARE;E-GOV DATA CENTER
21.04.2018 3:20;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.04.2018 3:20;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.04.2018 2:50;MALWARE;OFFICE OF THE PRESIDENT
21.04.2018 1:40;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.04.2018 1:40;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.04.2018 1:05;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.04.2018 1:05;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.04.2018 0:25;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.04.2018 0:25;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.04.2018 0:15;DDOS;OFFICE OF THE PRIME-MINISTER
21.04.2018 0:01;BOTNET;OFFICE OF THE PRIME-MINISTER
20.04.2018 23:30;NETWORK ATTACK;AKIMAT OF THE NUR-SULTAN
20.04.2018 23:30;BOTNET;HOUSE OF MINISTRIES
20.04.2018 23:30;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
20.04.2018 23:30;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
20.04.2018 23:30;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
20.04.2018 22:40;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
20.04.2018 22:40;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
20.04.2018 19:55;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
20.04.2018 18:38;WEBSITE UNAVAILABILITY;POLICE DEPARTMENT
20.04.2018 17:30;PHISHING;HOUSE OF MINISTRIES
20.04.2018 17:25;NETWORK ATTACK;HOUSE OF MINISTRIES
20.04.2018 16:00;SPAM;SUPREME COURT
20.04.2018 15:00;BOTNET;PARLIAMENT
20.04.2018 13:30;INTERNAL OFFENER;OFFICE OF THE PRESIDENT
20.04.2018 12:06;BOTNET;E-GOV DATA CENTER
20.04.2018 12:06;SPAM;E-GOV DATA CENTER
20.04.2018 10:30;INTERNAL OFFENER;HOUSE OF MINISTRIES
20.04.2018 8:00;INTERNAL OFFENER;AKIMAT OF THE NUR-SULTAN
20.04.2018 7:45;INTERNAL OFFENER;HOUSE OF MINISTRIES
20.04.2018 7:39;SPAM;POLICE DEPARTMENT
20.04.2018 7:00;INTERNAL OFFENER;POLICE DEPARTMENT
20.04.2018 4:00;MALWARE;HOUSE OF MINISTRIES
20.04.2018 3:30;DDOS;HOUSE OF MINISTRIES
20.04.2018 3:03;MALWARE;PARLIAMENT
20.04.2018 2:14;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
20.04.2018 1:22;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
20.04.2018 1:02;SPAM;POLICE DEPARTMENT
20.04.2018 0:41;DDOS;SUPREME COURT
20.04.2018 0:05;NETWORK ATTACK;OFFICE OF THE PRIME-MINISTER
20.04.2018 0:01;SPAM;SUPREME COURT
19.04.2018 22:00;SPAM;SUPREME COURT
19.04.2018 21:55;MALWARE;PARLIAMENT
19.04.2018 20:30;NETWORK ATTACK;OFFICE OF THE PRESIDENT
19.04.2018 20:30;SPAM;SUPREME COURT
19.04.2018 20:10;MALWARE;HOUSE OF MINISTRIES
19.04.2018 19:40;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
19.04.2018 19:40;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
19.04.2018 18:45;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
19.04.2018 18:45;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
19.04.2018 13:00;INTERNAL OFFENER;SUPREME COURT
19.04.2018 13:00;BOTNET;MINISTRY OF DEFENCE
19.04.2018 10:30;INTERNAL OFFENER;PARLIAMENT
19.04.2018 5:43;BOTNET;MINISTRY OF DEFENCE
19.04.2018 5:43;SPAM;MINISTRY OF DEFENCE
19.04.2018 5:43;SPAM;MINISTRY OF DEFENCE
19.04.2018 1:45;SPAM;OFFICE OF THE PRIME-MINISTER
19.04.2018 1:30;DDOS;MINISTRY OF DEFENCE
19.04.2018 1:23;SPAM;POLICE DEPARTMENT
18.04.2018 23:45;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
18.04.2018 23:45;BOTNET;HOUSE OF MINISTRIES
18.04.2018 22:50;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
18.04.2018 22:50;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
18.04.2018 22:00;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
18.04.2018 20:00;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
18.04.2018 19:47;BOTNET;HOUSE OF MINISTRIES
18.04.2018 19:47;NETWORK ATTACK;PARLIAMENT
18.04.2018 19:20;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
18.04.2018 19:20;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
18.04.2018 16:29;BOTNET;PARLIAMENT
18.04.2018 16:29;MALWARE;PARLIAMENT
18.04.2018 16:20;PHISHING;POLICE DEPARTMENT
18.04.2018 14:43;PHISHING;AKIMAT OF THE NUR-SULTAN
18.04.2018 13:27;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
18.04.2018 13:00;BOTNET;MINISTRY OF DEFENCE
18.04.2018 13:00;SPAM;MINISTRY OF DEFENCE
18.04.2018 11:30;MALWARE;OFFICE OF THE PRESIDENT
18.04.2018 8:43;UNAUTHORIZED ACCESS;MINISTRY OF DIGITAL DEVELOPMENT
18.04.2018 7:37;BOTNET;AKIMAT OF THE NUR-SULTAN
18.04.2018 7:37;SPAM;AKIMAT OF THE NUR-SULTAN
18.04.2018 7:30;INTERNAL OFFENER;OFFICE OF THE PRIME-MINISTER
18.04.2018 6:03;BOTNET;MINISTRY OF DEFENCE
18.04.2018 6:03;SPAM;MINISTRY OF DEFENCE
18.04.2018 6:00;MALWARE;MINISTRY OF DIGITAL DEVELOPMENT
18.04.2018 4:04;PHISHING;E-GOV DATA CENTER
18.04.2018 1:52;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
18.04.2018 1:52;MALWARE;OFFICE OF THE PRIME-MINISTER
17.04.2018 21:00;INTERNAL OFFENER;E-GOV DATA CENTER
17.04.2018 19:05;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
17.04.2018 18:40;SPAM;E-GOV DATA CENTER
17.04.2018 13:30;PHISHING;OFFICE OF THE PRESIDENT
17.04.2018 13:00;BOTNET;AKIMAT OF THE NUR-SULTAN
17.04.2018 13:00;SPAM;MINISTRY OF DEFENCE
17.04.2018 13:00;SPAM;AKIMAT OF THE NUR-SULTAN
17.04.2018 13:00;BOTNET;MINISTRY OF DEFENCE
17.04.2018 13:00;BOTNET;MINISTRY OF DEFENCE
17.04.2018 13:00;SPAM;MINISTRY OF DEFENCE
17.04.2018 11:57;SPAM;POLICE DEPARTMENT
17.04.2018 11:41;SECURITY SYSTEM FAULT;OFFICE OF THE PRIME-MINISTER
17.04.2018 8:23;INTERNAL OFFENER;OFFICE OF THE PRESIDENT
17.04.2018 6:53;BOTNET;MINISTRY OF DEFENCE
17.04.2018 6:53;SPAM;MINISTRY OF DEFENCE
17.04.2018 5:41;BOTNET;MINISTRY OF DEFENCE
17.04.2018 5:41;SPAM;MINISTRY OF DEFENCE
17.04.2018 4:30;BOTNET;PARLIAMENT
17.04.2018 4:00;INTERNAL OFFENER;PARLIAMENT
17.04.2018 4:00;INTERNAL OFFENER;PARLIAMENT
17.04.2018 0:24;UNAUTHORIZED ACCESS;OFFICE OF THE PRESIDENT
16.04.2018 23:05;PHISHING;HOUSE OF MINISTRIES
16.04.2018 23:05;PHISHING;HOUSE OF MINISTRIES
16.04.2018 21:54;UNAUTHORIZED ACCESS;SUPREME COURT
16.04.2018 18:26;DDOS;AKIMAT OF THE NUR-SULTAN
16.04.2018 14:40;RANSOMWARE;HOUSE OF MINISTRIES
16.04.2018 14:00;SPAM;AKIMAT OF THE NUR-SULTAN
16.04.2018 12:45;PHISHING;POLICE DEPARTMENT
16.04.2018 11:00;SECURITY SYSTEM FAULT;OFFICE OF THE PRIME-MINISTER
16.04.2018 8:28;BOTNET;MINISTRY OF DEFENCE
16.04.2018 8:28;SPAM;MINISTRY OF DEFENCE
16.04.2018 7:08;SPAM;MINISTRY OF DEFENCE
16.04.2018 7:08;BOTNET;MINISTRY OF DEFENCE
16.04.2018 6:13;BOTNET;MINISTRY OF DEFENCE
16.04.2018 6:13;SPAM;MINISTRY OF DEFENCE
16.04.2018 6:13;SPAM;MINISTRY OF DEFENCE
16.04.2018 6:10;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
16.04.2018 5:40;BOTNET;MINISTRY OF DEFENCE
16.04.2018 5:40;SPAM;MINISTRY OF DEFENCE
16.04.2018 2:16;PHISHING;HOUSE OF MINISTRIES
16.04.2018 2:07;SECURITY SYSTEM FAULT;AKIMAT OF THE NUR-SULTAN
16.04.2018 2:00;MALWARE;POLICE DEPARTMENT
08.04.2018 23:29;BOTNET;AKIMAT OF THE NUR-SULTAN
08.04.2018 21:30;SPAM;AKIMAT OF THE NUR-SULTAN
08.04.2018 21:00;SECURITY SYSTEM FAULT;HOUSE OF MINISTRIES
08.04.2018 20:37;MALWARE;PARLIAMENT
08.04.2018 20:37;BOTNET;PARLIAMENT
08.04.2018 20:30;DDOS;OFFICE OF THE PRIME-MINISTER
08.04.2018 20:15;MALWARE;AKIMAT OF THE NUR-SULTAN
08.04.2018 18:00;INTERNAL OFFENER;MINISTRY OF DIGITAL DEVELOPMENT
08.04.2018 16:00;RANSOMWARE;AKIMAT OF THE NUR-SULTAN
08.04.2018 15:10;SPAM;OFFICE OF THE PRESIDENT
08.04.2018 8:00;SPAM;HOUSE OF MINISTRIES
08.04.2018 5:50;PHISHING;AKIMAT OF THE NUR-SULTAN
08.04.2018 5:50;PHISHING;AKIMAT OF THE NUR-SULTAN
08.04.2018 2:55;SECURITY SYSTEM FAULT;SUPREME COURT
08.04.2018 1:21;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
08.04.2018 0:30;UNAUTHORIZED ACCESS;POLICE DEPARTMENT
08.04.2018 0:21;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
07.04.2018 22:00;RANSOMWARE;E-GOV DATA CENTER
07.04.2018 21:23;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
07.04.2018 18:19;PHISHING;AKIMAT OF THE NUR-SULTAN
07.04.2018 17:55;PHISHING;MINISTRY OF DEFENCE
07.04.2018 17:35;BOTNET;SUPREME COURT
07.04.2018 11:50;SPAM;AKIMAT OF THE NUR-SULTAN
07.04.2018 7:21;BOTNET;MINISTRY OF DEFENCE
07.04.2018 7:21;SPAM;MINISTRY OF DEFENCE
07.04.2018 6:57;BOTNET;E-GOV DATA CENTER
07.04.2018 6:57;SPAM;E-GOV DATA CENTER
07.04.2018 6:57;SPAM;E-GOV DATA CENTER
07.04.2018 0:30;BOTNET;OFFICE OF THE PRESIDENT
06.04.2018 23:50;MALWARE;AKIMAT OF THE NUR-SULTAN
06.04.2018 18:45;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
06.04.2018 18:30;BOTNET;PARLIAMENT
06.04.2018 17:05;PHISHING;AKIMAT OF THE NUR-SULTAN
06.04.2018 15:38;PHISHING;MINISTRY OF DEFENCE
06.04.2018 12:56;PHISHING;OFFICE OF THE PRIME-MINISTER
06.04.2018 2:06;MALWARE;MINISTRY OF DEFENCE
06.04.2018 1:59;BOTNET;POLICE DEPARTMENT
06.04.2018 1:08;SPAM;HOUSE OF MINISTRIES
05.04.2018 20:33;NETWORK ATTACK;E-GOV DATA CENTER
05.04.2018 19:17;MALWARE;OFFICE OF THE PRIME-MINISTER
05.04.2018 16:15;BOTNET;POLICE DEPARTMENT
05.04.2018 15:08;SPAM;AKIMAT OF THE NUR-SULTAN
05.04.2018 6:35;SPAM;AKIMAT OF THE NUR-SULTAN
05.04.2018 4:42;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
05.04.2018 2:15;SPAM;HOUSE OF MINISTRIES
05.04.2018 0:01;SPAM;AKIMAT OF THE NUR-SULTAN
04.04.2018 23:12;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
04.04.2018 23:12;BOTNET;HOUSE OF MINISTRIES
04.04.2018 22:49;BOTNET;POLICE DEPARTMENT
04.04.2018 15:38;SECURITY SYSTEM FAULT;MINISTRY OF DIGITAL DEVELOPMENT
04.04.2018 15:30;PHISHING;E-GOV DATA CENTER
04.04.2018 13:50;SPAM;POLICE DEPARTMENT
04.04.2018 13:50;BOTNET;PARLIAMENT
04.04.2018 13:30;PHISHING;AKIMAT OF THE NUR-SULTAN
04.04.2018 13:15;PHISHING;POLICE DEPARTMENT
04.04.2018 12:00;SPAM;OFFICE OF THE PRESIDENT
04.04.2018 11:23;SPAM;HOUSE OF MINISTRIES
04.04.2018 7:30;SPAM;AKIMAT OF THE NUR-SULTAN
04.04.2018 6:16;BOTNET;MINISTRY OF DEFENCE
04.04.2018 6:16;SPAM;MINISTRY OF DEFENCE
04.04.2018 6:04;SPAM;MINISTRY OF DEFENCE
04.04.2018 6:04;BOTNET;MINISTRY OF DEFENCE
04.04.2018 1:54;NETWORK ATTACK;HOUSE OF MINISTRIES
04.04.2018 1:05;SPAM;AKIMAT OF THE NUR-SULTAN
03.04.2018 22:00;MALWARE;SUPREME COURT
03.04.2018 20:46;PHISHING;HOUSE OF MINISTRIES
03.04.2018 19:15;SPAM;POLICE DEPARTMENT
03.04.2018 19:00;BOTNET;PARLIAMENT
03.04.2018 17:38;NETWORK ATTACK;AKIMAT OF THE NUR-SULTAN
03.04.2018 16:45;BOTNET;POLICE DEPARTMENT
03.04.2018 12:20;PHISHING;OFFICE OF THE PRIME-MINISTER
03.04.2018 10:29;PHISHING;PARLIAMENT
03.04.2018 6:10;SPAM;MINISTRY OF DEFENCE
03.04.2018 6:10;BOTNET;MINISTRY OF DEFENCE
03.04.2018 5:59;BOTNET;MINISTRY OF DEFENCE
03.04.2018 5:59;SPAM;MINISTRY OF DEFENCE
03.04.2018 1:51;SPAM;POLICE DEPARTMENT
03.04.2018 1:51;PHISHING;POLICE DEPARTMENT
03.04.2018 0:47;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
02.04.2018 22:30;SPAM;AKIMAT OF THE NUR-SULTAN
02.04.2018 21:00;BOTNET;AKIMAT OF THE NUR-SULTAN
02.04.2018 21:00;BOTNET;AKIMAT OF THE NUR-SULTAN
02.04.2018 20:10;BOTNET;SUPREME COURT
02.04.2018 19:11;NETWORK ATTACK;PARLIAMENT
02.04.2018 18:05;NETWORK ATTACK;PARLIAMENT
02.04.2018 17:05;BOTNET;MINISTRY OF DIGITAL DEVELOPMENT
02.04.2018 15:10;DDOS;MINISTRY OF DEFENCE
02.04.2018 14:20;SPAM;E-GOV DATA CENTER
02.04.2018 14:00;SPAM;E-GOV DATA CENTER
02.04.2018 13:33;SPAM;E-GOV DATA CENTER
02.04.2018 11:00;PHISHING;HOUSE OF MINISTRIES
02.04.2018 11:00;SPAM;OFFICE OF THE PRIME-MINISTER
02.04.2018 10:05;PHISHING;AKIMAT OF THE NUR-SULTAN
02.04.2018 6:39;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
25.03.2018 23:37;UNAUTHORIZED ACCESS;PARLIAMENT
25.03.2018 23:30;MALWARE;POLICE DEPARTMENT
25.03.2018 23:00;DDOS;MINISTRY OF DIGITAL DEVELOPMENT
25.03.2018 18:44;UNAUTHORIZED ACCESS;POLICE DEPARTMENT
25.03.2018 16:30;BOTNET;SUPREME COURT
25.03.2018 13:20;INTERNAL OFFENER;HOUSE OF MINISTRIES
25.03.2018 12:49;BOTNET;HOUSE OF MINISTRIES
25.03.2018 7:50;PHISHING;OFFICE OF THE PRESIDENT
25.03.2018 5:45;SPAM;AKIMAT OF THE NUR-SULTAN
25.03.2018 1:24;MALWARE;MINISTRY OF DEFENCE
25.03.2018 1:17;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
24.03.2018 23:59;UNAUTHORIZED ACCESS;MINISTRY OF DIGITAL DEVELOPMENT
24.03.2018 22:50;SPAM;HOUSE OF MINISTRIES
24.03.2018 22:19;UNAUTHORIZED ACCESS;MINISTRY OF DIGITAL DEVELOPMENT
24.03.2018 20:30;BOTNET;POLICE DEPARTMENT
24.03.2018 19:20;INTERNAL OFFENER;PARLIAMENT
24.03.2018 17:30;SPAM;AKIMAT OF THE NUR-SULTAN
24.03.2018 16:23;PHISHING;E-GOV DATA CENTER
24.03.2018 13:20;MALWARE;AKIMAT OF THE NUR-SULTAN
24.03.2018 12:20;PHISHING;HOUSE OF MINISTRIES
24.03.2018 11:56;PHISHING;POLICE DEPARTMENT
24.03.2018 3:33;MALWARE;E-GOV DATA CENTER
24.03.2018 2:56;SPAM;HOUSE OF MINISTRIES
24.03.2018 1:33;SPAM;POLICE DEPARTMENT
24.03.2018 1:25;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
24.03.2018 1:25;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
24.03.2018 0:55;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
24.03.2018 0:55;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
24.03.2018 0:15;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
24.03.2018 0:15;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
24.03.2018 0:01;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
24.03.2018 0:01;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
23.03.2018 23:30;PHISHING;POLICE DEPARTMENT
23.03.2018 23:20;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
23.03.2018 23:20;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
23.03.2018 23:03;RANSOMWARE;HOUSE OF MINISTRIES
23.03.2018 22:50;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
23.03.2018 22:50;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
23.03.2018 21:38;NETWORK ATTACK;AKIMAT OF THE NUR-SULTAN
23.03.2018 19:15;SECURITY SYSTEM FAULT;E-GOV DATA CENTER
23.03.2018 19:00;SPAM;OFFICE OF THE PRESIDENT
23.03.2018 16:41;NETWORK ATTACK;MINISTRY OF DIGITAL DEVELOPMENT
23.03.2018 15:59;SPAM;E-GOV DATA CENTER
23.03.2018 15:18;BOTNET;HOUSE OF MINISTRIES
23.03.2018 15:18;SPAM;HOUSE OF MINISTRIES
23.03.2018 13:22;SPAM;OFFICE OF THE PRIME-MINISTER
23.03.2018 8:17;SPAM;AKIMAT OF THE NUR-SULTAN
23.03.2018 6:30;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
23.03.2018 6:30;BOTNET;HOUSE OF MINISTRIES
23.03.2018 0:25;PHISHING;AKIMAT OF THE NUR-SULTAN
22.03.2018 23:50;PHISHING;POLICE DEPARTMENT
22.03.2018 23:30;PHISHING;POLICE DEPARTMENT
22.03.2018 22:36;UNAUTHORIZED ACCESS;MINISTRY OF DIGITAL DEVELOPMENT
22.03.2018 20:50;BOTNET;HOUSE OF MINISTRIES
22.03.2018 17:44;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
22.03.2018 13:27;PHISHING;SUPREME COURT
22.03.2018 12:13;PHISHING;OFFICE OF THE PRIME-MINISTER
22.03.2018 11:30;INTERNAL OFFENER;SUPREME COURT
22.03.2018 3:30;SPAM;POLICE DEPARTMENT
22.03.2018 2:20;DDOS;SUPREME COURT
22.03.2018 1:35;PHISHING;HOUSE OF MINISTRIES
22.03.2018 0:47;PHISHING;AKIMAT OF THE NUR-SULTAN
21.03.2018 23:37;MALWARE;HOUSE OF MINISTRIES
21.03.2018 23:20;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.03.2018 23:20;WEBSITE UNAVAILABILITY;E-GOV DATA CENTER
21.03.2018 22:15;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
21.03.2018 22:15;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
21.03.2018 19:25;SPAM;HOUSE OF MINISTRIES
21.03.2018 19:05;WEBSITE UNAVAILABILITY;MINISTRY OF DEFENCE
21.03.2018 17:23;PHISHING;E-GOV DATA CENTER
21.03.2018 15:07;PHISHING;PARLIAMENT
21.03.2018 12:00;SECURITY SYSTEM FAULT;MINISTRY OF DIGITAL DEVELOPMENT
21.03.2018 12:00;SPAM;MINISTRY OF DEFENCE
21.03.2018 11:30;WEBSITE UNAVAILABILITY;MINISTRY OF DIGITAL DEVELOPMENT
21.03.2018 10:07;NETWORK ATTACK;AKIMAT OF THE NUR-SULTAN
21.03.2018 8:47;PHISHING;OFFICE OF THE PRIME-MINISTER
21.03.2018 8:12;SPAM;POLICE DEPARTMENT
21.03.2018 1:25;MALWARE;OFFICE OF THE PRESIDENT
21.03.2018 1:23;BOTNET;OFFICE OF THE PRIME-MINISTER
20.03.2018 23:00;SECURITY SYSTEM FAULT;PARLIAMENT
20.03.2018 18:13;DDOS;HOUSE OF MINISTRIES
20.03.2018 15:30;PHISHING;OFFICE OF THE PRESIDENT
20.03.2018 14:15;PHISHING;AKIMAT OF THE NUR-SULTAN
20.03.2018 13:05;BOTNET;E-GOV DATA CENTER
20.03.2018 12:45;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
20.03.2018 12:39;SPAM;POLICE DEPARTMENT
20.03.2018 12:11;PHISHING;AKIMAT OF THE NUR-SULTAN
20.03.2018 7:45;SPAM;OFFICE OF THE PRIME-MINISTER
20.03.2018 7:00;SPAM;MINISTRY OF DEFENCE
20.03.2018 0:18;MALWARE;AKIMAT OF THE NUR-SULTAN
19.03.2018 19:45;PHISHING;AKIMAT OF THE NUR-SULTAN
19.03.2018 19:36;DDOS;HOUSE OF MINISTRIES
19.03.2018 15:00;SPAM;MINISTRY OF DEFENCE
19.03.2018 13:10;PHISHING;HOUSE OF MINISTRIES
19.03.2018 9:20;SPAM;OFFICE OF THE PRESIDENT
19.03.2018 9:20;SPAM;E-GOV DATA CENTER
11.03.2018 23:33;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
11.03.2018 23:28;UNAUTHORIZED ACCESS;OFFICE OF THE PRESIDENT
11.03.2018 20:13;PHISHING;E-GOV DATA CENTER
11.03.2018 19:20;NETWORK ATTACK;SUPREME COURT
11.03.2018 17:45;INTERNAL OFFENER;OFFICE OF THE PRESIDENT
11.03.2018 15:41;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
11.03.2018 15:08;BOTNET;MINISTRY OF DIGITAL DEVELOPMENT
11.03.2018 12:02;SPAM;HOUSE OF MINISTRIES
11.03.2018 11:04;SPAM;HOUSE OF MINISTRIES
11.03.2018 10:00;INTERNAL OFFENER;SUPREME COURT
11.03.2018 9:34;BOTNET;MINISTRY OF DEFENCE
11.03.2018 9:34;SPAM;MINISTRY OF DEFENCE
11.03.2018 5:42;SPAM;MINISTRY OF DEFENCE
11.03.2018 5:42;BOTNET;MINISTRY OF DEFENCE
11.03.2018 3:54;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
11.03.2018 1:30;PHISHING;AKIMAT OF THE NUR-SULTAN
11.03.2018 0:48;BOTNET;MINISTRY OF DEFENCE
10.03.2018 22:19;MALWARE;AKIMAT OF THE NUR-SULTAN
10.03.2018 22:03;SPAM;MINISTRY OF DEFENCE
10.03.2018 19:14;MALWARE;SUPREME COURT
10.03.2018 19:01;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
10.03.2018 18:37;MALWARE;MINISTRY OF DEFENCE
10.03.2018 18:00;PHISHING;HOUSE OF MINISTRIES
10.03.2018 17:15;INTERNAL OFFENER;SUPREME COURT
10.03.2018 15:02;PHISHING;SUPREME COURT
10.03.2018 14:13;PHISHING;E-GOV DATA CENTER
10.03.2018 14:00;SPAM;OFFICE OF THE PRIME-MINISTER
10.03.2018 12:53;NETWORK ATTACK;AKIMAT OF THE NUR-SULTAN
10.03.2018 11:20;PHISHING;E-GOV DATA CENTER
10.03.2018 10:40;SPAM;OFFICE OF THE PRIME-MINISTER
10.03.2018 4:01;MALWARE;PARLIAMENT
10.03.2018 3:20;MALWARE;OFFICE OF THE PRESIDENT
10.03.2018 3:20;MALWARE;HOUSE OF MINISTRIES
10.03.2018 1:54;MALWARE;POLICE DEPARTMENT
09.03.2018 22:55;MALWARE;POLICE DEPARTMENT
09.03.2018 22:52;NETWORK ATTACK;AKIMAT OF THE NUR-SULTAN
09.03.2018 22:43;DDOS;MINISTRY OF DIGITAL DEVELOPMENT
09.03.2018 18:45;BOTNET;MINISTRY OF DIGITAL DEVELOPMENT
09.03.2018 18:26;NETWORK ATTACK;OFFICE OF THE PRESIDENT
09.03.2018 18:00;WEBSITE UNAVAILABILITY;OFFICE OF THE PRIME-MINISTER
09.03.2018 17:17;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
09.03.2018 12:56;RANSOMWARE;POLICE DEPARTMENT
09.03.2018 11:00;DDOS;MINISTRY OF DIGITAL DEVELOPMENT
09.03.2018 10:23;SPAM;SUPREME COURT
